"chunk_id","chunk_type","primary_text","category","price","price_category","flower_type","seasonality","occasion","collection_id","url","max_tokens","content_length"
"product_0020","product","Bouquet of peonies - Classic peony bouquet in premium arrangement","Peonies","6200","Premium","Peon","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","63"
"product_0021","product","Basket with peonies - Elegant basket filled with fresh peonies - premium version","Peonies","6100","Premium","Peony","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","78"
"product_0022","product","Basket with peonies - Beautiful basket arrangement with fresh peonies - standard version","Peonies","3100","Premium","Peony","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","86"
"product_0023","product","Bouquet ""Pink palette"" - Romantic pink bouquet with peonies, spray roses and classic roses","Peonies","2000","Premium","Peon / rose spray / rose","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","88"
"product_0024","product","Bouquet ""Raspberry"" - Unique bouquet with peonies and raspberry branches for a natural touch","Peonies","3350","Premium","Peon / raspberry branches","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","90"
"product_0025","product","Bouquet of coral peonies - Beautiful coral-colored peonies with eucalyptus accents","Peonies","700","Budget","Peon / eucalypt","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","80"
"product_0026","product","Bouquet of pink peonies - Soft pink peonies with fresh eucalyptus for a delicate arrangement","Peonies","570","Budget","Peon / eucalypt","Spring-Summer","General","Peonies","https://xoflowers.md/bouquet-of-pink-peonies/","200","90"
"product_0027","product","Box with flowers ""Summer morning"" - Mixed flower box with hydrangea, gerbera, peony, eustoma and mattiola","Peonies","2000","Premium","Hydrangea / gerbera / peony / eustoma / mattiola","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","103"
"product_0028","product","Bouquet ""Warmth"" - Warm and bright bouquet combining peonies with cheerful gerberas","Peonies","1750","Mid-Range","Peony / gerbera","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","81"
"product_0029","product","Buchet ""Marshmallow"" - Delicate marshmallow-colored peonies with oxypetalum details","Peonies","1615","Mid-Range","Peonies / oxypetalum","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","81"
"product_0030","product","Bouquet ""Sarah"" - Classic peony bouquet named Sarah, perfect for any occasion","Peonies","1650","Mid-Range","Peonies","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","75"
"product_0031","product","Bouquet ""Kisses"" - Romantic bouquet with peonies and hydrangeas for sweet moments","Peonies","1100","Mid-Range","Pieony / hydrangea","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","79"
"product_0032","product","Bouquet ""The scent of peonies"" - Fragrant peony bouquet with tanacetum for added texture","Peonies","1550","Mid-Range","Peonies / tanacetum","Spring-Summer","General","Peonies","https://xoflowers.md/bouquet-the-scent-of-peonies/","200","86"
"product_0033","product","Bouquet ""Charm"" - Charming small bouquet with peonies and sweet matiola","Peonies","565","Budget","Peony / matiola","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","69"
"product_0034","product","Basket with peonies Coral Charm - Coral Charm peonies arranged in elegant basket - available in multiple sizes","Peonies","1450","Mid-Range","Peonies","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","108"
"product_0035","product","Basket with flowers ""Glints of Summer"" - Summer-inspired basket with peony, carnation, rose and mallucella","Peonies","1700","Mid-Range","Peony / carnation / rose / mallucella","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","104"
"product_0036","product","Bouquet ""Poetry"" - Poetic arrangement of hydrangeas, peonies and eucalyptus","Peonies","1450","Mid-Range","Hydrangea / peony / eucalyptus","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","73"
"product_0037","product","Bouquet ""A gentle angel"" - Angelic white and soft pink peony arrangement","Peonies","2100","Premium","Peonies","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","70"
"product_0038","product","Bouquet ""Meet the dream"" - Dreamy bouquet featuring Coral Charm peonies","Peonies","1250","Mid-Range","Peonies Coral Charm","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","69"
"product_0039","product","Basket of flowers ""Excitement of the Heart"" - Exciting mix of peony, hydrangea, herminia, matthiola, eucalyptus, rose and pampas grass","Peonies","1700","Mid-Range","Peony / Hydrangea / Herminia / Matthiola / Eucalyptus / Rose / Pampas grass","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","132"
"product_0040","product","Box with beautiful flowers - Elegant box arrangement with hydrangea, peony and orchid Vanda","Peonies","2500","Premium","Hydrangea / peony / orchid Vanda","Spring-Summer","General","Peonies","https://xoflowers.md/box-with-beautiful-flowers/","200","89"
"product_0041","product","Basket with peonis - Short-stemmed peonies nestled comfortably in a round basket. Calm and peaceful composition that creates a summer mood and fills the day with warmth and light. Perfect gift for visits and special occasions.","Peonies","3100","Premium","Peony","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","224"
"product_0042","product","Bouquet ""I love you"" - Composition made from one variety of peonies. Peonies symbolize wealth, honor, and love in the language of flowers. Lush, delicate, fragrant bouquet rightfully considered one of the best gifts for girls and women.","Peonies","6200","Premium","Peony","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","234"
"product_0043","product","Bright flower bouquet ""Coral Charm"" - Bright, life-affirming flower trio Coral Charm. Vibrant combination of Coral Charm peonies with viburnum and eucalyptus for a fresh and elegant arrangement.","Peonies","1700","Mid-Range","Peonies / viburnum / eucalyptus","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","192"
"product_0044","product","Box with french roses - Elegant French roses with eucalyptus in premium presentation box","French roses","2250","Premium","Roses Mandala / eucalypt","All-Season","General","French roses","https://xoflowers.md/box-with-french-roses/","200","86"
"product_0045","product","Basket with roses ""Poma Rosa"" - Luxurious basket arrangement with premium roses","French roses","8700","Premium","Rose","All-Season","General","French roses","https://xoflowers.md/basket-poma-rosa/","200","77"
"product_0046","product","Basket with flowers ""Emma"" - Beautiful basket with roses and viburnum accents","French roses","3700","Premium","Rose / viburnum","All-Season","General","French roses","https://xoflowers.md/basket-emma/","200","75"
"product_0047","product","Bouquet ""Silk evening"" - Elegant evening bouquet with roses, tulips, chrysanthemum, allium and ruskus","French roses","1250","Mid-Range","Rose / tulip / chrizantema / allium / ruskus","All-Season","General","French roses","https://xoflowers.md/bouquet-silk-evening/","200","99"
"product_0048","product","Bouquet ""French kiss"" - Classic French rose bouquet available in multiple sizes (15, 21, 31, 51 roses)","French roses","1450","Mid-Range","Rose","All-Season","General","French roses","https://xoflowers.md/bouquet-french-kiss/","200","100"
"product_0049","product","Basket with flowers ""The magnificence of roses"" - Magnificent basket showcasing the beauty of roses with eucalyptus","French roses","4600","Premium","Rose / eucalyptus","All-Season","General","French roses","https://xoflowers.md/basket-magnificence-of-roses/","200","113"
"product_0050","product","Box with flowers ""A gentle drop"" - Delicate box arrangement with roses and eucalyptus","French roses","1550","Mid-Range","Rose / eucalyptus","All-Season","General","French roses","https://xoflowers.md/box-gentle-drop/","200","83"
"product_0051","product","Bouquet ""The romance of the morning"" - Romantic morning bouquet with roses and eucalyptus","French roses","650","Budget","Rose / eucalyptus","All-Season","General","French roses","https://xoflowers.md/bouquet-romance-morning/","200","87"
"product_0052","product","Bouquet ""A creamy dream"" - Dreamy creamy-colored roses with eucalyptus accents","French roses","650","Budget","Rose / eucalyptus","All-Season","General","French roses","https://xoflowers.md/bouquet-creamy-dream/","200","76"
"product_0053","product","Flowers in basket ""I miss you"" - Touching basket arrangement expressing longing with roses and eucalyptus","French roses","3300","Premium","Rose / eucalyptus","All-Season","General","French roses","https://xoflowers.md/basket-i-miss-you/","200","103"
"product_0054","product","Bouquet ""The warmth of October"" - Autumn-inspired bouquet with roses, spray roses and chrysanthemum","French roses","1200","Mid-Range","Rose / rose spray / chrizantema","All-Season","General","French roses","https://xoflowers.md/bouquet-warmth-october/","200","97"
"product_0055","product","Basket with flowers ""Soft shades of love"" - Romantic basket with roses, dianthus, wax flower, delphinium and chrysanthemum","French roses","3950","Premium","Roses / dianthus / wax flower / delphinium / chrizantema","All-Season","General","French roses","https://xoflowers.md/basket-soft-shades-love/","200","120"
"product_0056","product","Box with flowers ""Delicate blush"" - Delicate pink-toned rose box arrangement","French roses","1000","Mid-Range","Rose","All-Season","General","French roses","https://xoflowers.md/box-delicate-blush/","200","74"
"product_0057","product","Box with flowers ""Warmth and tenderness"" - Tender box arrangement with roses, wax, lisianthus, chrysanthemum and dianthus - available in S, M, L sizes","French roses","1800","Mid-Range","Rose / wax / lisianthus / chrizantema / dianthus","All-Season","General","French roses","https://xoflowers.md/box-warmth-tenderness/","200","148"
"product_0058","product","Basket with flowers ""Her kiss"" - Romantic basket expressing affection with roses and eucalyptus","French roses","2400","Premium","Rose / eucalypt","All-Season","General","French roses","https://xoflowers.md/basket-her-kiss/","200","93"
"product_0059","product","Bouquet ""Montreal Mix"" - Premium mixed rose bouquet inspired by Montreal elegance","French roses","3600","Premium","Rose","All-Season","General","French roses","https://xoflowers.md/bouquet-montreal-mix/","200","79"
"product_0060","product","Box with roses ""Little miss"" - Charming small box arrangement perfect for young ladies","French roses","1400","Mid-Range","Rose","All-Season","General","French roses","https://xoflowers.md/box-little-miss/","200","84"
"product_0061","product","Basket with roses ""Azalia"" - Elegant basket arrangement named after the beautiful Azalia","French roses","2200","Premium","Roses","All-Season","General","French roses","https://xoflowers.md/basket-azalia/","200","86"
"product_0062","product","Basket with flowers ""Sun kiss"" - Sunny arrangement with viburnum, roses, gerbera, eustoma and matiola","French roses","2700","Premium","Viburnum / rose / gerbera / eustoma / matiola","All-Season","General","French roses","https://xoflowers.md/basket-sun-kiss/","200","99"
"product_0063","product","Box with flowers ""In the embrace of spring"" - Spring-inspired box with roses, hydrangea, genista and dianthus - available in S and L sizes","French roses","1900","Mid-Range","Rose / hydrangea / genista / dianthus","All-Season","General","French roses","https://xoflowers.md/box-embrace-spring/","200","136"
"product_0064","product","Basket with roses ""Love Valley"" - Romantic basket arrangement available in 25, 31, 51 roses","French roses","2650","Premium","Roses","All-Season","General","French roses","https://xoflowers.md/basket-love-valley/","200","89"
"product_0065","product","A basket of roses ""Scarlet Sunset"" - Dramatic red rose arrangement available in 21, 35, 51 roses","French roses","2400","Premium","Roses","All-Season","General","French roses","https://xoflowers.md/basket-scarlet-sunset/","200","94"
"product_0066","product","Bouquet ""Passion"" - Passionate bouquet with Rose Nina, Rose Pink Expression, carnation and Rose Julliet - available in S, M, L sizes","French roses","1350","Mid-Range","Rose Nina / Rose Pink Expression / carnation/ Rose Julliet","All-Season","General","French roses","https://xoflowers.md/bouquet-passion/","200","130"
"product_0067","product","Bouquet ""Roses Mandala"" - Special bouquet featuring the exquisite Roses Mandala variety","French roses","950","Mid-Range","Roses Mandala","All-Season","General","French roses","https://xoflowers.md/bouquet-roses-mandala/","200","85"
"product_0068","product","Bouquet ""A fiery sunset"" - Vibrant sunset-inspired bouquet with roses, gerbera, lagurus and stabilized leaves","French roses","1100","Mid-Range","Rose / gerbera / lagurus / stabilized leaves","All-Season","General","French roses","https://xoflowers.md/bouquet-fiery-sunset/","200","107"
"product_0069","product","Basket with roses - Classic rose basket arrangement available in S, M, L sizes","French roses","1900","Mid-Range","Rose","All-Season","General","French roses","https://xoflowers.md/basket-with-roses/","200","76"
"product_0070","product","Bouquet ""Dawn"" - Fresh morning bouquet with roses and gerbera","French roses","1500","Mid-Range","Roses / gerbera","All-Season","General","French roses","https://xoflowers.md/bouquet-dawn/","200","59"
"product_0071","product","Basket with flowers ""A touch of fall"" - Autumn-themed basket with roses, gerbera, ruskus and chrysanthemum","French roses","2200","Premium","Roses / gerbera / ruskus / chryzantema","All-Season","General","French roses","https://xoflowers.md/basket-touch-fall/","200","104"
"product_0072","product","Bouquet ""Gentle Autumn"" - Soft autumn bouquet with roses - available in S and M sizes","French roses","1350","Mid-Range","Roses","All-Season","General","French roses","https://xoflowers.md/bouquet-gentle-autumn/","200","83"
"product_0073","product","Basket with flowers ""Hugging the fall"" - Cozy autumn basket with roses, chrysanthemum, eustoma and berries","French roses","2250","Premium","Rose / chrysanthemum / eustoma / berries","All-Season","General","French roses","https://xoflowers.md/basket-hugging-fall/","200","104"
"product_0074","product","Box with flowers ""A delicate gloss"" - Sophisticated box with roses, hydrangea, delphinium, chrysanthemum, eustoma and eucalyptus","French roses","2600","Premium","Rose / hydrangea / delphinium / chrysanthemum / eustoma / eucalyptus","All-Season","General","French roses","https://xoflowers.md/box-delicate-gloss/","200","126"
"product_0075","product","Basket with flowers ""A delicate fleur"" - Delicate French-inspired basket featuring Roses Mandala","French roses","2700","Premium","Roses Mandala","All-Season","General","French roses","https://xoflowers.md/basket-delicate-fleur/","200","94"
"product_0076","product","Composition in a basket ""Princess of Heart"" - Royal arrangement with Roses Mondial and eucalyptus - available in S, M, L sizes","French roses","2200","Premium","Roses Mondial / eucalyptus","All-Season","General","French roses","https://xoflowers.md/basket-princess-heart/","200","124"
"product_0077","product","Bouquet ""Reverance"" - Respectful bouquet with tulips, roses, eucalyptus, geniste and ruscus","French roses","2200","Premium","Tulip / rose / eucalyptus / geniste / ruscus","All-Season","General","French roses","https://xoflowers.md/bouquet-reverance/","200","89"
"product_0078","product","Bouquet ""Sugar candy"" - Sweet bouquet combining roses with germini","French roses","1300","Mid-Range","Roses / germini","All-Season","General","French roses","https://xoflowers.md/bouquet-sugar-candy/","200","64"
"product_0079","product","Bouquet ""For a lady"" - Elegant bouquet featuring Roses Pink Mondial","French roses","750","Budget","Roses Pink Mondial","All-Season","General","French roses","https://xoflowers.md/bouquet-for-lady/","200","65"
"product_0080","product","Bouquet Roses Playa Blanca - Pure white Playa Blanca roses available in 11, 21, 51 roses","French roses","900","Mid-Range","Roses Playa Blanca","All-Season","General","French roses","https://xoflowers.md/bouquet-playa-blanca/","200","86"
"product_0081","product","Bouquet Red Roses - Classic red rose bouquet for timeless elegance","French roses","640","Budget","Roses","All-Season","General","French roses","https://xoflowers.md/bouquet-red-roses/","200","64"
"product_0082","product","Elegant bouquet of flowers - Sophisticated arrangement with roses and matiola","French roses","1100","Mid-Range","Roses / matiola","All-Season","General","French roses","https://xoflowers.md/elegant-bouquet-flowers/","200","75"
"product_0083","product","Bouquet ""Juli"" - Summer bouquet with roses, dianthus, tulips, asparagus and antirinium","French roses","1900","Mid-Range","Rose / dianthus / tulip / asparagus / antirinium","All-Season","General","French roses","https://xoflowers.md/bouquet-juli/","200","84"
"product_0084","product","Box ""Gracious dance"" - Graceful box arrangement with roses, orchids and eucalyptus","French roses","1450","Mid-Range","Rose / orchid / eucalyptus","All-Season","General","French roses","https://xoflowers.md/box-gracious-dance/","200","80"
"product_0085","product","A box with french roses - French roses with eucalyptus in elegant box - available in S, M, L sizes","French roses","1050","Mid-Range","Roses / eucalypt","All-Season","General","French roses","https://xoflowers.md/box-french-roses/","200","96"
"product_0086","product","Basket with roses Hermosa - Beautiful basket featuring Roses Hermosa variety","French roses","3200","Premium","Roses Hermosa","All-Season","General","French roses","https://xoflowers.md/basket-hermosa/","200","74"
"product_0087","product","101 roses in a basket - Grand gesture with 101 red roses in basket - available in S, M, XL sizes","French roses","2050","Premium","Red roses","All-Season","General","French roses","https://xoflowers.md/basket-101-roses/","200","94"
"product_0088","product","Bouquet ""Love Rising"" - Romantic bouquet with Roses Nina and Roses Pink Mondial - available in 11, 21, 51 roses","French roses","830","Mid-Range","Roses Nina/ Roses Pink Mondial","All-Season","General","French roses","https://xoflowers.md/bouquet-love-rising/","200","109"
"product_0089","product","Monobouquet of roses Playa Blanca - Pure mono-bouquet of Playa Blanca roses - available in 21, 31, 51, 81 roses","French roses","1700","Mid-Range","Roses Playa Blanca","All-Season","General","French roses","https://xoflowers.md/mono-playa-blanca/","200","109"
"product_0090","product","Monobouquet of Ecuadorian roses - Premium Ecuadorian roses with eucalyptus - available in 11, 21, 31, 51 roses","French roses","1000","Mid-Range","Ecuadorian roses / Eucalypt","All-Season","General","French roses","https://xoflowers.md/mono-ecuadorian-roses/","200","108"
"product_0091","product","Buchet ""Kylie"" - Magnificent bouquet created from luxury roses of famous varieties Pink Expression, Pink Floyd, Julliet, Silva Pink - a color palette that delights the eye with the delicate freshness of its shades","French roses","4000","Premium","Trandafir: Expression, Pink Floyd, Julliet, Silva Pink","All-Season","General","French roses","https://xoflowers.md/bouquet-kylie/","200","211"
"product_0092","product","Bouquet ""Candy"" - Beautiful and bright bouquet with roses on long stems that seems to rest on a cushion of hydrangeas. Despite the size of the bouquet, it seems light and airy, perfect for giving unforgettable emotions","French roses","2600","Premium","Roses / hydrangea","All-Season","General","French roses","https://xoflowers.md/bouquet-candy/","200","216"
"product_0093","product","Bouquet ""Sweet Love"" - Delightful bouquet with Pink Floyd and Mandala roses in shades of chic pink. With long stems and delicate aroma, perfect as a gift to a loved one. Photo shows bouquet of 31 pieces","French roses","830","Mid-Range","Rose sort Pink Floyd / Rose sort Mandala","All-Season","General","French roses","https://xoflowers.md/bouquet-sweet-love/","200","200"
"product_0094","product","Box with french roses - Premium French roses with eucalyptus in elegant presentation box","Basket / Boxes with flowers","2250","Premium","Roses Mandala / eucalypt","All-Season","General","Basket / Boxes with flowers","https://xoflowers.md/box-with-french-roses/","200","86"
"product_0095","product","Basket with flowers ""Gentle Breath"" - Gentle arrangement with hydrangea, chrysanthemum, eustoma, roses and ruskus","Basket / Boxes with flowers","2020","Premium","Hydrangea / chrysanthemum / eustoma / rose / ruskus","All-Season","General","Basket / Boxes with flowers","https://xoflowers.md/basket-gentle-breath/","200","111"
"product_0096","product","Flower basket ""Morning Fields"" - Fresh morning arrangement with eustoma, tanacetum, scabiosa and malucela","Basket / Boxes with flowers","1600","Mid-Range","Eustoma / tanacetum / scabiosa / malucela","All-Season","General","Basket / Boxes with flowers","https://xoflowers.md/basket-morning-fields/","200","103"
"product_0097","product","A box of flowers ""Summer Dream"" - Summer-inspired box with eustoma, gerbera and malucela","Basket / Boxes with flowers","2200","Premium","Eustoma / gerbera / malucela","All-Season","General","Basket / Boxes with flowers","https://xoflowers.md/box-summer-dream/","200","86"
"product_0098","product","Box with flowers ""Pearl Love"" - Luxurious arrangement with anthurium, mattiola, peony, spray roses, hydrangea and lilies","Basket / Boxes with flowers","3500","Premium","Anthurium / mattiola / peony / rose spray / hydrangea / lilia","All-Season","General","Basket / Boxes with flowers","https://xoflowers.md/box-pearl-love/","200","118"
"product_0099","product","Basket with flowers ""Emma"" - Beautiful basket arrangement with roses and viburnum","Basket / Boxes with flowers","3700","Premium","Rose / viburnum","All-Season","General","Basket / Boxes with flowers","https://xoflowers.md/basket-emma/","200","79"
"product_0100","product","Basket with flowers ""Antoanetta"" - Elegant arrangement with hydrangea, gerbera, roses, bush roses and allium floccon","Basket / Boxes with flowers","4900","Premium","Hydrangea / gerbera / rose / rose bush rose / allium floccon","All-Season","General","Basket / Boxes with flowers","https://xoflowers.md/basket-antoanetta/","200","114"
"product_0101","product","Box with flowers ""Kissing luxury"" - Luxurious box with gerbera, roses, orchids, ranunculus, genista and dianthus","Basket / Boxes with flowers","5200","Premium","Gerbera / rose / orchid / ranunculus / genista / dianthus","All-Season","General","Basket / Boxes with flowers","https://xoflowers.md/box-kissing-luxury/","200","110"
"product_0102","product","Basket with rose ""First date"" - Perfect for first dates - spray roses arrangement available in S and L sizes","Basket / Boxes with flowers","2200","Premium","Trandafir spray","All-Season","General","Basket / Boxes with flowers","https://xoflowers.md/basket-first-date/","200","106"
"product_0103","product","Box with flowers ""Exquisite recognition"" - Sophisticated box with gerbera, roses, orchids and tulips","Basket / Boxes with flowers","3800","Premium","Gerbera / rose / orchidea / tulip","All-Season","General","Basket / Boxes with flowers","https://xoflowers.md/box-exquisite-recognition/","200","98"
"product_0104","product","Basket with flowers ""Versal"" - Royal arrangement with hydrangea, genista, roses and spray roses","Basket / Boxes with flowers","2400","Premium","Hydrangea / genista / rose / rose spray","All-Season","General","Basket / Boxes with flowers","https://xoflowers.md/basket-versal/","200","93"
"product_0105","product","Basket with flowers ""The magnificence of roses"" - Magnificent basket showcasing roses with eucalyptus","Basket / Boxes with flowers","4600","Premium","Rose / eucalyptus","All-Season","General","Basket / Boxes with flowers","https://xoflowers.md/basket-magnificence-roses/","200","99"
"product_0106","product","Box with flowers ""A gentle drop"" - Delicate box arrangement with roses and eucalyptus","Basket / Boxes with flowers","1550","Mid-Range","Rose / eucalyptus","All-Season","General","Basket / Boxes with flowers","https://xoflowers.md/box-gentle-drop/","200","83"
"product_0107","product","Flowers in basket ""I miss you"" - Touching arrangement expressing longing with roses and eucalyptus","Basket / Boxes with flowers","3300","Premium","Rose / eucalyptus","All-Season","General","Basket / Boxes with flowers","https://xoflowers.md/basket-i-miss-you/","200","96"
"product_0108","product","Basket with flowers ""Honey sunset"" - Warm sunset-inspired basket with roses, chrysanthemum, panicum, lagurus and viburnum","Basket / Boxes with flowers","1000","Mid-Range","Rose / chrizantema / panicum / lagurus / viburnum","All-Season","General","Basket / Boxes with flowers","https://xoflowers.md/basket-honey-sunset/","200","119"
"product_0109","product","Basket with flowers ""Soft shades of love"" - Romantic basket with roses, dianthus, wax flower, delphinium and chrysanthemum","Basket / Boxes with flowers","3950","Premium","Roses / dianthus / wax flower / delphinium / chrizantema","All-Season","General","Basket / Boxes with flowers","https://xoflowers.md/basket-soft-shades-love/","200","120"
"product_0110","product","Box with flowers ""Delicate blush"" - Delicate pink-toned rose box arrangement","Basket / Boxes with flowers","1000","Mid-Range","Rose","All-Season","General","Basket / Boxes with flowers","https://xoflowers.md/box-delicate-blush/","200","74"
"product_0111","product","Box with flowers ""The romance of flowers"" - Romantic box with roses, spray roses, delphinium, ruscus and lisianthus - available in S, M, L sizes","Basket / Boxes with flowers","1900","Mid-Range","Rose / rose spray / delphinium / ruscus / lisianthus","All-Season","General","Basket / Boxes with flowers","https://xoflowers.md/box-romance-flowers/","200","142"
